Name,Position,Age,Team,League
Thibaut Courtois,GK,30,Real Madrid,Spain
Simon Mignolet,GK,34,Club Brugge,Belgium
Koen Casteels,GK,30,Wolfsburg,Germany
Toby Alderweireld,DEF,33,Royal Antwerp,Belgium
Arthur Theate,DEF,22,Rennes,France
Wout Faes,DEF,24,Leicester City,England
Jan Vertonghen,DEF,35,Anderlecht,Belgium
Thomas Meunier,DEF,30,Borussia Dortmund,Germany
Timothy Castagne,DEF,26,Leicester City,England
Zeno Debast,DEF,18,Anderlecht,Belgium
Axel Witsel,MID,33,Atlético Madrid,Spain
Kevin De Bruyne,MID,31,Manchester City,England
Youri Tielemans,MID,25,Leicester City,England
Yannick Carrasco,MID,28,Atlético Madrid,Spain
Amadou Onana,MID,20,Everton,England
Leander Dendoncker,MID,27,Aston Villa,England
Hans Vanaken,MID,29,Club Brugge,Belgium
Romelu Lukaku,FRW,29,Internazionale,Italy
Eden Hazard,FRW,31,Real Madrid,Spain
Dries Mertens,FRW,35,Galatasaray,Turkey
Thorgan Hazard,FRW,29,Borussia Dortmund,Germany
Leandro Trossard,FRW,27,Brighton & Hove Albion,England
De Ketelaere,FRW,21,Milan,Italy
Michy Batshuayi,FRW,28,Fenerbahçe,Turkey
Lois Openda,FRW,22,Lens,France
Jérémy Doku,FRW,20,Rennes,France
