Name,Position,Age,Team,League
Alisson Becker,GK,29,Liverpool,England
Weverton,GK,34,Palmeiras,Brazil
Ederson Moraes,GK,28,Manchester City,England
Danilo,DEF,30,Juventus,Italy
Thiago Silva,DEF,37,Chelsea,England
Marquinhos,DEF,28,Paris SG,France
Alex Sandro,DEF,31,Juventus,Italy
Dani Alves,DEF,39,Pumas,Mexico
Éder Militão,DEF,24,Real Madrid,Spain
Alex Telles,DEF,29,Sevilla,Spain
Bremer,DEF,25,Juventus,Italy
Casemiro,MID,30,Manchester United,England
Lucas Paquetá,MID,24,West Ham,England
Fred,MID,29,Manchester United,England
Fabinho,MID,28,Liverpool,England
Bruno Guimarães,MID,24,Newcastle,England
Éverton Ribeiro,MID,33,Flamengo,Brazil
Richarlison,FRW,25,Tottenham,England
Neymar,FRW,30,Paris SG,France
Raphinha,FRW,25,Barcelona,Spain
Gabriel Jesus,FRW,25,Arsenal,England
Antony,FRW,22,Manchester United,England
Vinícius Júnior,FRW,21,Real Madrid,Spain
Rodrygo,FRW,21,Real Madrid,Spain
Pedro,FRW,25,Flamengo,Brazil
Gabriel Martinelli,FRW,21,Arsenal,England
