Name,Position,Age,Team,League
Dominik Livakovic,GK,27,Dinamo Zagreb,Croatia
Ivo Grbic,GK,26,Atlético Madrid,Spain
Ivica Ivusic,GK,27,NK Osijek,Croatia
Josip Stanisic,DEF,22,Bayern München,Germany
Borna Barisic,DEF,29,Rangers,Scotland
Martin Erlic,DEF,24,Sassuolo,Italy
Dejan Lovren,DEF,32,Zenit,Russian Federation
Borna Sosa,DEF,24,Stuttgart,Germany
Josko Gvardiol,DEF,20,RB Leipzig,Germany
Domagoj Vida,DEF,33,AEK,Greece
Josip Juranovic,DEF,26,Celtic,Scotland
Josip Sutalo,DEF,22,Dinamo Zagreb,Croatia
Ivan Perisic,MID,33,Tottenham,England
Lovro Majer,MID,24,Rennes,France
Mateo Kovacic,MID,28,Chelsea,England
Luka Modric,MID,36,Real Madrid,Spain
Marcelo Brozovic,MID,29,Internazionale,Italy
Nikola Vlasic,MID,24,Torino,Italy
Mario Pasalic,MID,27,Atalanta,Italy
Luka Sucic,MID,19,Red Bull Salzburg,Austria
Kristijan Jakic,MID,25,Eintracht Frankfurt,Germany
Andrej Kramaric,FRW,31,TSG Hoffenheim,Germany
Marko Livaja,FRW,28,Hajduk Split,Croatia
Bruno Petkovic,FRW,27,Dinamo Zagreb,Croatia
Ante Budimir,FRW,30,Osasuna,Spain
Mislav Orsic,FRW,29,Dinamo Zagreb,Croatia
