Name,Position,Age,Team,League
Hugo Lloris,GK,35,Tottenham,England
Steve Mandanda,GK,37,Rennes,France
Alphonse Aréola,GK,29,West Ham,England
Benjamin Pavard,DEF,26,Bayern München,Germany
Axel Disasi,DEF,24,Monaco,France
Raphael Varane,DEF,29,Manchester United,England
Jules Koundé,DEF,23,Barcelona,Spain
William Saliba,DEF,21,Arsenal,England
Dayot Upamecano,DEF,23,Bayern München,Germany
Lucas Hernández,DEF,26,Bayern München,Germany
Theo Hernández,DEF,24,Milan,Italy
Ibrahima Konaté,DEF,23,Liverpool,England
Mattéo Guendouzi ,MID,23,Marseille,France
Aurélien Tchouaméni,MID,22,Real Madrid,Spain
Youssouf Fofana,MID,23,Monaco,France
Adrien Rabiot,MID,27,Juventus,Italy
Jordan Veretout,MID,29,Marseille,France
Eduardo Camavinga,MID,19,Real Madrid,Spain
Antoine Griezmann,FRW,31,Atlético Madrid,Spain
Olivier Giroud,FRW,35,Milan,Italy
Kylian Mbappé,FRW,23,Paris SG,France
Ousmane Dembélé,FRW,25,Barcelona,Spain
Randal Kolo Muani,FRW,23,Eintracht Frankfurt,Germany
Karim Benzema,FRW,34,Real Madrid,Spain
Kingsley Coman,FRW,26,Bayern München,Germany
Marcus Thuram,FRW,24,Borussia M´gladbach,Germany
