Name,Position,Age,Team,League
Manuel Neuer,GK,36,Bayern München,Germany
Kevin Trapp,GK,31,Eintracht Frankfurt,Germany
ter Stegen,GK,30,Barcelona,Spain
Antonio Rudiger,DEF,29,Real Madrid,Spain
David Raum,DEF,24,RB Leipzig,Germany
Matthias Ginter,DEF,28,SC Freiburg,Germany
Thilo Kehrer,DEF,25,West Ham,England
Niklas Sule,DEF,26,Borussia Dortmund,Germany
Lukas Klostermann,DEF,26,RB Leipzig,Germany
Christian Gunter,DEF,29,SC Freiburg,Germany
Nico Schlotterbeck,DEF,22,Borussia Dortmund,Germany
Armel Kotchap,DEF,20,Southampton,England
Joshua Kimmich,MID,27,Bayern München,Germany
Leon Goretzka,MID,27,Bayern München,Germany
Mario Götze,MID,30,Eintracht Frankfurt,Germany
Jamal Musiala,MID,19,Bayern München,Germany
Julian Brandt,MID,26,Borussia Dortmund,Germany
Jonas Hofmann,MID,29,Borussia M´gladbach,Germany
Ilkay Gundogan,MID,31,Manchester City,England
Kai Havertz,FRW,23,Chelsea,England
Niclas Fullkrug,FRW,29,Werder Bremen,Germany
Sèrge Gnabry,FRW,26,Bayern München,Germany
Thomas Müller,FRW,32,Bayern München,Germany
Leroy Sané,FRW,26,Bayern München,Germany
Karim Adeyemi,FRW,20,Borussia Dortmund,Germany
Youssoufa Moukoko,FRW,17,Borussia Dortmund,Germany
