Name,Position,Age,Team,League
Eiji Kawashima,GK,39,Strasbourg,France
Shuichi Gonda,GK,33,Shimizu S-Pulse,Japan
Daniel Schmidt,GK,30,Sint-Truiden,Belgium
Miki Yamane,DEF,28,Kawasaki Frontale,Japan
Shogo Taniguchi,DEF,30,Kawasaki Frontale,Japan
Ko Itakura,DEF,25,Borussia M´gladbach,Germany
Yuto Nagatomo,DEF,35,FC Tokyo,Japan
Takehiro Tomiyasu,DEF,23,Arsenal,England
Hiroki Sakai,DEF,32,Urawa Reds,Japan
Maya Yoshida,DEF,33,Schalke 04,Germany
Hiroki Ito,DEF,23,Stuttgart,Germany
Wataru Endo,MID,29,Stuttgart,Germany
Gaku Shibasaki,MID,30,Leganés,Spain
Hidemasa Morita,MID,27,Sporting,Portugal
Ao Tanaka,MID,23,Fortuna Düsseldorf,Germany
Yuki Soma,MID,25,Nagoya Grampus,Japan
Ritsu Doan,FRW,24,SC Freiburg,Germany
Kaoru Mitoma,FRW,25,Brighton & Hove Albion,England
Takumi Minamino,FRW,27,Monaco,France
Takefusa Kubo,FRW,21,Real Sociedad,Spain
Junya Ito,FRW,29,Stade de Reims,France
Daichi Kamada,FRW,25,Eintracht Frankfurt,Germany
Takuma Asano,FRW,27,VfL Bochum,Germany
Shuto Machino,FRW,22,Shonan Bellmare,Japan
Ayase Ueda,FRW,23,Cercle Brugge,Belgium
Daizen Maeda,FRW,24,Celtic,Scotland
