Name,Position,Age,Team,League
Remko Pasveer,GK,38,Ajax,Netherlands
Justin Bijlow,GK,24,Feyenoord,Netherlands
Andries Noppert,GK,28,Heerenveen,Netherlands
Jurrien Timber,DEF,21,Ajax,Netherlands
Matthijs de Ligt,DEF,22,Bayern München,Germany
Virgil van Dijk,DEF,30,Liverpool,England
Nathan Aké,DEF,27,Manchester City,England
Stefan de Vrij,DEF,30,Internazionale,Italy
Tyrell Malacia,DEF,22,Manchester United,England
Daley Blind,DEF,32,Ajax,Netherlands
Denzel Dumfries,DEF,26,Internazionale,Italy
Jeremie Frimpong,DEF,21,Bayer Leverkusen,Germany
Davy Klaassen,MID,29,Ajax,Netherlands
Marten de Roon,MID,31,Atalanta,Italy
Teun Koopmeiners,MID,24,Atalanta,Italy
Frenkie de Jong,MID,25,Barcelona,Spain
Kenneth Taylor,MID,20,Ajax,Netherlands
Xavi Simons,MID,19,PSV,Netherlands
Steven Bergwijn,FRW,24,Ajax,Netherlands
Cody Gakpo,FRW,23,PSV,Netherlands
Luuk de Jong,FRW,31,PSV,Netherlands
Memphis Depay,FRW,28,Barcelona,Spain
Steven Berghuis,FRW,30,Ajax,Netherlands
Noa Lang,FRW,23,Club Brugge,Belgium
Vincent Janssen,FRW,28,Royal Antwerp,Belgium
Wout Weghorst,FRW,29,Besiktas,Turkey
