Name,Position,Age,Team,League
Wojciech Szczesny,GK,32,Juventus,Italy
Lukasz Skorupski,GK,31,Bologna,Italy
Kamil Grabara,GK,23,FC Kobenhavn,Denmark
Matty Cash,DEF,24,Aston Villa,England
Artur Jedrzejczyk,DEF,34,Legia Warszawa,Poland
Mateusz Wieteska,DEF,25,Clermont,France
Jan Bednarek,DEF,26,Aston Villa,England
Jakub Kiwior,DEF,22,Spezia,Italy
Kamil Glik,DEF,34,Benevento,Italy
Bartosz Bereszynski,DEF,29,Sampdoria,Italy
Robert Gumny,DEF,24,FC Augsburg,Germany
Krystian Bielik,MID,24,Birmingham City,England
Damian Szymanski,MID,27,AEK,Greece
Grzegorz Krychowiak,MID,32,Al-Shabab,Saudi-Arabia
Szymon Zurkowski,MID,24,Fiorentina,Italy
Sebastian Szymanski,MID,23,Feyenoord,Netherlands
Piotr Zielinski,MID,28,Napoli,Italy
Nicola Zalewski,MID,20,Roma,Italy
Arkadiusz Milik,FRW,28,Juventus,Italy
Robert Lewandowski,FRW,33,Barcelona,Spain
Kamil Grosicki,FRW,34,Pogon Szczecin,Poland
Jakub Kaminski,FRW,20,Wolfsburg,Germany
Karol Swiderski,FRW,25,Charlotte FC,United States of America
Krzysztof Piatek,FRW,26,Salernitana,Italy
Przemyslaw Frankowski ,FRW,27,Lens,France
Michal Skoras,FRW,22,Lech Poznan,Poland
