Name,Position,Age,Team,League
Saad Al-Sheeb ,GK,32,Al-Sadd,Qatar
Yousef Hassan,GK,26,Al-Gharafa,Qatar
Meshaal Barsham,GK,24,Al-Sadd,Qatar
Pedro Ró-Ró,DEF,31,Al-Sadd,Qatar
Abdelkarim Hassan,DEF,28,Al-Sadd,Qatar
Musab Khoder,DEF,28,Al-Sadd,Qatar
Homam Ahmed ,DEF,22,Al-Gharafa,Qatar
Bassam Hisham,DEF,24,Al-Duhail,Qatar
Boualem Khoukhi,DEF,31,Al-Sadd,Qatar
Ismail Mohamad,DEF,32,Al-Duhail,Qatar
Salem Al Hajri,DEF,26,Al-Sadd,Qatar
Mohammed Waad,MID,22,Al-Sadd,Qatar
Tarek Salman,MID,24,Al-Sadd,Qatar
Abdulaziz Hatem,MID,31,Al-Rayyan,Qatar
Ali Asad,MID,29,Al-Sadd,Qatar
Karim Boudiaf,MID,31,Al-Duhail,Qatar
Assim Madibo,MID,25,Al-Duhail,Qatar
Naif Al-Hadhrami,MID,20,Al-Rayyan,Qatar
Jassem Gaber,MID,20,Al-Arabi SC,Qatar
Mostafa Meshaal,MID,21,Al-Sadd,Qatar
Ahmed Alaaeldin,FRW,29,Al-Gharafa,Qatar
Mohamed Muntari,FRW,28,Al-Duhail,Qatar
Hassan Al Haydos,FRW,31,Al-Sadd,Qatar
Akram Afif,FRW,25,Al-Sadd,Qatar
Khalid Muneer,FRW,24,Al-Wakrah,Qatar
Almoez Ali,FRW,25,Al-Duhail,Qatar
