Name,Position,Age,Team,League
Kim Seung-gyu,GK,31,Al-Shabab,Saudi-Arabia
Song Bum-keun,GK,24,Jeonbuk Motors,South Korea
Jo Hyeon-woo,GK,30,Ulsan Hyundai,South Korea
Yoon Jong-gyu,DEF,24,FC Seoul,South Korea
Kim Jin-su,DEF,30,Jeonbuk Motors,South Korea
Kim Min-jae,DEF,25,Napoli,Italy
Hong Chul,DEF,31,Daegu,South Korea
Kim Moon-hwan,DEF,26,Jeonbuk Motors,South Korea
Kim Young-gwon,DEF,32,Ulsan Hyundai,South Korea
Kwon Kyung-won,DEF,30,Gamba Osaka,Japan
Kim Tae-hwan,DEF,32,Ulsan Hyundai,South Korea
Cho Yu-min,DEF,25,Daejeon Hana Citizen,South Korea
Jung Woo-young,MID,32,Al-Sadd,Qatar
Hwang In-beom,MID,25,Olympiacos,Greece
Paik Seung-ho,MID,25,Jeonbuk Motors,South Korea
Lee Jae-sung,MID,29,Mainz,Germany
Son Joon-ho,MID,30,Shandong Taishan ,China
Lee Kang-in,MID,21,Mallorca,Spain
Kwon Chang-hoon,MID,28,Gimcheon Sangmu,South Korea
Son Heung-min,FRW,29,Tottenham,England
Cho Gue-sung,FRW,24,Jeonbuk Motors,South Korea
Hwang Hee-chan,FRW,26,Wolverhampton,England
Hwang Ui-jo,FRW,29,Olympiacos,Greece
Na Sang-ho,FRW,25,FC Seoul,South Korea
Jeong Woo-yeong,FRW,22,SC Freiburg,Germany
Song Min-kyu,FRW,22,Jeonbuk Motors,South Korea
