Name,Position,Age,Team,League
Yann Sommer,GK,33,Borussia M´gladbach,Germany
Jonas Omlin,GK,28,Montpellier,France
Gregor Kobel,GK,24,Borussia Dortmund,Germany
Philipp Kohn,GK,24,Red Bull Salzburg,Austria
Silvan Widmer,DEF,29,Mainz,Germany
Nico Elvedi,DEF,25,Borussia M´gladbach,Germany
Manuel Akanji,DEF,26,Manchester City,England
Ricardo Rodríguez,DEF,29,Torino,Italy
Eray Comert,DEF,24,Valencia,Spain
Fabian Schar,DEF,30,Newcastle,England
Edi Fernandes,MID,26,Mainz,Germany
Denis Zakaria,MID,25,Chelsea,England
Remo Freuler,MID,30,Nottingham Forest,England
Granit Xhaka,MID,29,Arsenal,England
Michel Aebischer,MID,25,Bologna,Italy
Djibril Sow,MID,25,Eintracht Frankfurt,Germany
Rubén Vargas,MID,23,FC Augsburg,Germany
Fabian Frei,MID,33,FC Basel,Switzerland
Fabian Rieder,MID,20,Young Boys,Switzerland
Ardon Jashari,MID,19,Luzern,Switzerland
Breel Embolo,FRW,25,Monaco,France
Haris Seferovic,FRW,30,Galatasaray,Turkey
Renato Steffen,FRW,30,FC Lugano,Switzerland
Christian Fassnacht,FRW,28,Young Boys,Switzerland
Noah Okafor,FRW,22,Red Bull Salzburg,Austria
Xherdan Shaqiri,FRW,30,Chicago Fire,United States of America
