Name,Position,Age,Team
Matt Turner,GK,28,Arsenal
Ethan Horvath,GK,27,Luton Town
Sean Johnson,GK,33,New York City FC
Sergiño Dest,DEF,21,Milan
Walker Zimmerman,DEF,29,Nashville SC
Antonee Robinson,DEF,24,Fulham
Tim Ream,DEF,34,Fulham
Aaron Long,DEF,29,NY Red Bulls
Shaq Moore,DEF,25,Nashville SC
Carter-Vickers,DEF,24,Celtic
DeAndre Yedlin,DEF,28,Inter Miami CF
Joe Scally,DEF,19,Borussia M´gladbach
Tyler Adams,MID,23,Leeds United
Yunus Musah,MID,19,Valencia
Giovanni Reyna,MID,19,Borussia Dortmund
Weston McKennie,MID,23,Juventus
Brenden Aaronson,MID,21,Leeds United
Luca de la Torre,MID,24,Celta de Vigo
Cristian Roldán,MID,27,Seattle Sounders
Kellyn Acosta,MID,26,Los Angeles FC
Jesús Ferreira,FRW,21,FC Dallas
Christian Pulisic,FRW,23,Chelsea
Jordan Morris,FRW,27,Seattle Sounders
Haji Wright,FRW,24,Antalyaspor
Timothy Weah,FRW,22,Lille
Josh Sargent,FRW,22,Norwich City
