Name,Position,Age,Team,League
Matt Turner,GK,28,Arsenal,England
Ethan Horvath,GK,27,Luton Town,England
Sean Johnson,GK,33,New York City FC,United States of America
Sergiño Dest,DEF,21,Milan,Italy
Walker Zimmerman,DEF,29,Nashville SC,United States of America
Antonee Robinson,DEF,24,Fulham,England
Tim Ream,DEF,34,Fulham,England
Aaron Long,DEF,29,NY Red Bulls,United States of America
Shaq Moore,DEF,25,Nashville SC,United States of America
Carter-Vickers,DEF,24,Celtic,Scotland
DeAndre Yedlin,DEF,28,Inter Miami CF,United States of America
Joe Scally,DEF,19,Borussia M´gladbach,Germany
Tyler Adams,MID,23,Leeds United,England
Yunus Musah,MID,19,Valencia,Spain
Giovanni Reyna,MID,19,Borussia Dortmund,Germany
Weston McKennie,MID,23,Juventus,Italy
Brenden Aaronson,MID,21,Leeds United,England
Luca de la Torre,MID,24,Celta de Vigo,Spain
Cristian Roldán,MID,27,Seattle Sounders,United States of America
Kellyn Acosta,MID,26,Los Angeles FC,United States of America
Jesús Ferreira,FRW,21,FC Dallas,United States of America
Christian Pulisic,FRW,23,Chelsea,England
Jordan Morris,FRW,27,Seattle Sounders,United States of America
Haji Wright,FRW,24,Antalyaspor,Turkey
Timothy Weah,FRW,22,Lille,France
Josh Sargent,FRW,22,Norwich City,England
